330_SWE (m),392_SWE (m),393_SWE (m),763_SWE (m)
0.0,0.01016,0.00508,0.00508
0.00254,0.0076199999999999,0.00508,0.00508
0.00254,0.00508,0.00254,0.00508
0.00254,0.00508,0.00254,0.00508
0.0127,0.02286,0.0152399999999999,0.01016
0.0152399999999999,0.02794,0.0152399999999999,0.01016
0.02286,0.04572,0.0254,0.0127
0.02286,0.04572,0.0254,0.0127
0.02032,0.04572,0.0431799999999999,0.0127
0.0254,0.04572,0.04572,0.0177799999999999
0.0355599999999999,0.0609599999999999,0.05334,0.02286
0.0431799999999999,0.1016,0.0635,0.0355599999999999
0.0431799999999999,0.1016,0.06604,0.0355599999999999
0.04572,0.1016,0.06604,0.0355599999999999
0.04572,0.1016,0.06604,0.0355599999999999
0.04572,0.1016,0.06604,0.0355599999999999
0.04572,0.1016,0.06604,0.0355599999999999
0.04572,0.1143,0.0711199999999999,0.0380999999999999
0.04572,0.11938,0.0736599999999999,0.0380999999999999
0.04572,0.12446,0.07874,0.0380999999999999
0.04572,0.12446,0.07874,0.0380999999999999
0.05588,0.12954,0.08128,0.0508
0.0635,0.13462,0.0838199999999999,0.0609599999999999
0.09652,0.17526,0.10668,0.09144
0.09652,0.1803399999999999,0.11176,0.09398
0.09652,0.1803399999999999,0.11176,0.09398
0.09652,0.1803399999999999,0.11176,0.09398
0.10922,0.19304,0.1219199999999999,0.1041399999999999
0.10922,0.19812,0.1219199999999999,0.1016
0.1422399999999999,0.2438399999999999,0.127,0.11938
0.1422399999999999,0.2438399999999999,0.127,0.11938
0.1422399999999999,0.2438399999999999,0.127,0.11938
0.14478,0.2463799999999999,0.12954,0.127
0.14478,0.2463799999999999,0.12954,0.127
0.1473199999999999,0.2463799999999999,0.12954,0.127
0.1473199999999999,0.2463799999999999,0.12954,0.127
0.1473199999999999,0.2463799999999999,0.12954,0.127
0.16256,0.254,0.13462,0.12954
0.1676399999999999,0.26162,0.1422399999999999,0.13716
0.1676399999999999,0.26162,0.1422399999999999,0.13716
0.1676399999999999,0.26162,0.1422399999999999,0.1397
0.1676399999999999,0.26416,0.14478,0.1397
0.1676399999999999,0.26416,0.14478,0.1397
0.1676399999999999,0.26416,0.14478,0.1397
0.1676399999999999,0.26416,0.14478,0.1397
0.17018,0.26924,0.1473199999999999,0.1422399999999999
0.18796,0.28956,0.16256,0.15748
0.19304,0.2946399999999999,0.17018,0.1651
0.2286,0.3302,0.19304,0.19558
0.2286,0.3302,0.19304,0.19558
0.2286,0.3302,0.19304,0.19558
0.23876,0.3454399999999999,0.19812,0.20066
0.25654,0.35052,0.20066,0.2082799999999999
0.2819399999999999,0.40894,0.2311399999999999,0.2311399999999999
0.30734,0.44704,0.25146,0.24892
0.33274,0.49022,0.2946399999999999,0.2717799999999999
0.33274,0.4952999999999999,0.3047999999999999,0.2717799999999999
0.33274,0.4952999999999999,0.3047999999999999,0.2717799999999999
0.33274,0.4952999999999999,0.3047999999999999,0.2717799999999999
0.33274,0.4952999999999999,0.3047999999999999,0.2717799999999999
0.33274,0.4952999999999999,0.3047999999999999,0.2717799999999999
0.33274,0.4952999999999999,0.3047999999999999,0.2717799999999999
0.33274,0.4952999999999999,0.3047999999999999,0.2717799999999999
0.34036,0.5003799999999999,0.30734,0.2794
0.34036,0.50292,0.30734,0.2794
0.3479799999999999,0.51308,0.31496,0.28702
0.3555999999999999,0.51816,0.31496,0.2946399999999999
0.381,0.54864,0.32512,0.32258
0.381,0.55118,0.32512,0.32512
0.381,0.55372,0.3302,0.32766
0.381,0.55372,0.3302,0.32766
0.381,0.55372,0.3302,0.32766
0.381,0.55626,0.3302,0.3302
0.38354,0.55626,0.3302,0.3302
0.38354,0.55626,0.3302,0.3302
0.38354,0.55626,0.3302,0.3302
0.38354,0.55626,0.3302,0.3302
0.38354,0.55626,0.3302,0.33274
0.39116,0.5638799999999999,0.33782,0.33782
0.39624,0.5689599999999999,0.34036,0.33782
0.39624,0.5689599999999999,0.3429,0.33782
0.3987799999999999,0.57912,0.3479799999999999,0.3429
0.4165599999999999,0.6095999999999999,0.3555999999999999,0.35306
0.4165599999999999,0.6095999999999999,0.3555999999999999,0.35306
0.4165599999999999,0.61214,0.3555999999999999,0.3429
0.42164,0.63754,0.381,0.33782
0.42672,0.6527799999999999,0.3937,0.3429
0.42672,0.6527799999999999,0.3937,0.3429
0.42672,0.6527799999999999,0.3937,0.3429
0.42672,0.6527799999999999,0.3937,0.3429
0.42672,0.6527799999999999,0.3937,0.3429
0.42672,0.6527799999999999,0.38862,0.3429
0.42672,0.6604,0.38354,0.3429
0.42672,0.6604,0.38354,0.3454399999999999
0.43688,0.67818,0.39624,0.3479799999999999
0.4445,0.68072,0.3987799999999999,0.3479799999999999
0.4699,0.70358,0.40894,0.3581399999999999
0.4800599999999999,0.7162799999999999,0.4165599999999999,0.3682999999999999
0.47752,0.73152,0.4241799999999999,0.37338
0.47244,0.7340599999999999,0.4241799999999999,0.37338
0.4800599999999999,0.74422,0.42672,0.37592
0.4800599999999999,0.74422,0.42672,0.37592
0.5054599999999999,0.77724,0.44704,0.40386
0.5054599999999999,0.77724,0.44704,0.40386
0.5054599999999999,0.77724,0.44704,0.40386
0.5054599999999999,0.77724,0.44704,0.40386
0.5054599999999999,0.77724,0.44704,0.40386
0.5054599999999999,0.77724,0.44704,0.40386
0.51562,0.79502,0.4572,0.4165599999999999
0.5257799999999999,0.8051799999999999,0.46482,0.4292599999999999
0.5308599999999999,0.8051799999999999,0.46482,0.4292599999999999
0.5308599999999999,0.8051799999999999,0.46482,0.4292599999999999
0.5308599999999999,0.8051799999999999,0.46482,0.4292599999999999
0.5308599999999999,0.80264,0.46482,0.42164
0.5308599999999999,0.8000999999999999,0.46482,0.4165599999999999
0.5308599999999999,0.8000999999999999,0.46482,0.4114799999999999
0.5257799999999999,0.8000999999999999,0.46482,0.40132
0.51562,0.7975599999999999,0.46482,0.3937
0.5003799999999999,0.79248,0.46482,0.381
0.4826,0.7874,0.46482,0.37084
0.4673599999999999,0.7848599999999999,0.46482,0.3606799999999999
0.44704,0.78232,0.46482,0.35052
0.4317999999999999,0.77724,0.46482,0.33782
0.42164,0.77724,0.45974,0.32766
0.4064,0.76962,0.44704,0.30988
0.3987799999999999,0.76708,0.44704,0.2920999999999999
0.40132,0.7746999999999999,0.4546599999999999,0.30226
0.40132,0.76708,0.4546599999999999,0.2971799999999999
0.40386,0.77216,0.4572,0.29972
0.40386,0.76962,0.4572,0.29972
0.4165599999999999,0.8128,0.48514,0.32004
0.4165599999999999,0.81788,0.4826,0.32258
0.4165599999999999,0.81788,0.4800599999999999,0.32004
0.43942,0.8483599999999999,0.4927599999999999,0.33782
0.43942,0.8509,0.5003799999999999,0.34036
0.43942,0.8483599999999999,0.5003799999999999,0.33274
0.4419599999999999,0.85344,0.5054599999999999,0.33782
0.44704,0.8509,0.50292,0.33782
0.44704,0.8483599999999999,0.49784,0.33782
0.44704,0.8483599999999999,0.4952999999999999,0.33782
0.43688,0.84074,0.47752,0.32004
0.4317999999999999,0.83566,0.45974,0.30226
0.43688,0.86614,0.4876799999999999,0.30988
0.43688,0.86868,0.4952999999999999,0.31242
0.43434,0.86868,0.4952999999999999,0.31242
0.41402,0.86868,0.4952999999999999,0.3047999999999999
0.39116,0.86614,0.4952999999999999,0.2794
0.3606799999999999,0.8635999999999999,0.4927599999999999,0.2438399999999999
0.3606799999999999,0.8458199999999999,0.4876799999999999,0.23876
0.35306,0.8331199999999999,0.4876799999999999,0.22352
0.32004,0.83058,0.4749799999999999,0.19304
0.3047999999999999,0.8128,0.4572,0.1727199999999999
0.3047999999999999,0.81534,0.45212,0.16002
0.30988,0.7975599999999999,0.4546599999999999,0.15748
0.30988,0.81026,0.46482,0.16256
0.30988,0.8128,0.46482,0.16256
0.30988,0.8128,0.44958,0.14478
0.2920999999999999,0.81534,0.43434,0.127
0.2971799999999999,0.8255,0.44958,0.13462
0.3047999999999999,0.8382,0.4572,0.1422399999999999
0.32258,0.8458199999999999,0.4546599999999999,0.1473199999999999
0.32258,0.8610599999999999,0.45974,0.16256
0.32766,0.8763,0.4699,0.1727199999999999
0.32766,0.8763,0.4622799999999999,0.1651
0.3302,0.8763,0.4546599999999999,0.1676399999999999
0.31496,0.87376,0.43942,0.1523999999999999
0.30226,0.8763,0.4241799999999999,0.1473199999999999
0.2844799999999999,0.8763,0.42164,0.12446
0.25146,0.8763,0.4064,0.07874
0.2057399999999999,0.8559800000000001,0.37846,0.02286
0.17526,0.8382,0.35306,0.0
0.14478,0.80772,0.32512,0.0
0.127,0.79502,0.30734,0.0
0.09906,0.7797799999999999,0.2717799999999999,0.0
0.0635,0.75692,0.23622,0.0
0.0304799999999999,0.72644,0.1905,0.0
0.0,0.67818,0.1422399999999999,0.0
0.0,0.6604,0.1041399999999999,0.0
0.0,0.62992,0.0635,0.0
0.0,0.5969,0.0431799999999999,0.0
0.0,0.58674,0.03302,0.0
0.0,0.59944,0.0380999999999999,0.0
0.0,0.6095999999999999,0.0431799999999999,0.0
0.0,0.6095999999999999,0.04064,0.0
0.0,0.60198,0.0304799999999999,0.0
0.0,0.59944,0.02032,0.0
0.0,0.57658,0.0,0.0
0.0,0.5334,0.0,0.0
0.0,0.4876799999999999,0.0,0.0
0.0,0.46482,0.0,0.0
0.0,0.46482,0.0,0.0
0.0,0.43688,0.0,0.0
0.0,0.3987799999999999,0.0,0.0
0.0,0.3581399999999999,0.0,0.0
0.0,0.31496,0.0,0.0
0.0,0.2717799999999999,0.0,0.0
0.0,0.23876,0.0,0.0
