prcp (mm/day),tmax (deg c),tmin (deg c),330_SWE (m),392_SWE (m),393_SWE (m),763_SWE (m),533_SWE (m),684_SWE (m),814_SWE (m),896_SWE (m),1118_SWE (m),1145_SWE (m)
0.61,23.49,7.8,0.0,0.0,0.0,0.0,,,,,,
0.3,23.54,7.2,0.0,0.0,0.0,0.0,,,,,,
1.01,23.62,5.51,0.0,0.0,0.0,0.0,,,,,,
1.09,23.53,8.64,0.0,0.0,0.0,0.0,,,,,,
9.55,18.1,2.55,0.0,0.0,0.0,0.0,,,,,,
0.0,11.92,0.22,0.00508,0.01016,0.00254,0.0,,,,,,
0.74,12.09,-1.23,0.0,0.00508,0.0,0.0,,,,,,
1.07,12.51,-3.21,0.0,0.0076199999999999,0.00508,0.0,,,,,,
0.0,17.25,-3.94,0.0,0.0076199999999999,0.00508,0.0,,,,,,
0.0,21.93,-1.46,0.0,0.00508,0.00254,0.0,,,,,,
0.0,23.32,0.12,0.0,0.00254,0.0,0.0,,,,,,
0.0,22.94,2.61,0.0,0.0,0.0,0.0,,,,,,
0.0,21.63,6.64,0.0,0.0,0.0,0.0,,,,,,
0.0,19.46,-0.17,0.0,0.0,0.0,0.0,,,,,,
0.0,22.31,-0.29,0.0,0.0,0.0,0.0,,,,,,
0.0,21.52,6.33,0.0,0.0,0.0,0.0,,,,,,
0.0,22.71,8.3,0.0,0.0,0.0,0.0,,,,,,
3.02,21.42,7.69,0.0,0.0,0.0,0.0,,,,,,
11.89,12.58,2.75,0.0,0.0,0.0,0.0,,,,,,
0.0,11.49,-2.12,0.0,0.0127,0.01016,0.0,,,,,,
0.0,11.88,-2.07,0.0,0.0127,0.01016,0.0,,,,,,
0.0,15.81,-5.16,0.0,0.0127,0.00508,0.0,,,,,,
0.0,21.38,-2.43,0.0,0.01016,0.00254,0.0,,,,,,
0.0,22.04,1.67,0.0,0.00508,0.0,0.0,,,,,,
0.0,22.34,1.78,0.0,0.0,0.0,0.0,,,,,,
1.48,19.57,7.56,0.0,0.0,0.0,0.0,,,,,,
0.0,18.03,5.79,0.0,0.0,0.0,0.0,,,,,,
0.0,21.49,0.93,0.0,0.0,0.0,0.0,,,,,,
0.0,23.13,2.71,0.0,0.0,0.0,0.0,,,,,,
0.91,22.77,11.05,0.0,0.0,0.0,0.0,,,,,,
2.72,19.14,7.85,0.0,0.0,0.0,0.0,,,,,,
0.0,18.55,8.24,0.0,0.0,0.0,0.0,,,,,,
8.45,15.55,3.33,0.0,0.0,0.0,0.0,,,,,,
0.51,11.82,-1.28,0.0,0.0076199999999999,0.0076199999999999,0.0,,,,,,
0.0,12.32,-3.19,0.0,0.0152399999999999,0.01016,0.0,,,,,,
0.0,15.45,-3.12,0.0,0.0152399999999999,0.01016,0.0,,,,,,
0.0,15.55,-1.53,0.0,0.0127,0.00508,0.0,,,,,,
0.0,17.89,-0.97,0.0,0.0076199999999999,0.0,0.0,,,,,,
0.0,18.23,-1.09,0.0,0.00254,0.0,0.0,,,,,,
0.0,18.11,-1.22,0.0,0.0,0.0,0.0,,,,,,
0.0,18.34,-0.87,0.0,0.0,0.0,0.0,,,,,,
0.0,18.67,-0.75,0.0,0.0,0.0,0.0,,,,,,
0.0,18.85,-0.64,0.0,0.0,0.0,0.0,,,,,,
0.0,17.66,0.16,0.0,0.0,0.0,0.0,,,,,,
0.0,17.82,-0.64,0.0,0.0,0.0,0.0,,,,,,
0.0,16.01,-1.29,0.0,0.0,0.0,0.0,,,,,,
0.0,18.87,-1.52,0.0,0.0,0.0,0.0,,,,,,
0.0,20.91,-0.42,0.0,0.0,0.0,0.0,,,,,,
0.0,18.48,0.43,0.0,0.0,0.0,0.0,,,,,,
3.52,7.21,-3.38,0.0,0.0,0.0,0.0,,,,,,
0.0,4.66,-10.88,0.0,0.01016,0.00508,0.00508,,,,,,
0.0,15.73,-4.29,0.00254,0.0076199999999999,0.00508,0.00508,,,,,,
0.0,16.1,0.32,0.00254,0.00508,0.00254,0.00508,,,,,,
5.47,12.48,3.46,0.00254,0.00508,0.00254,0.00508,,,,,,
6.18,6.82,-1.22,0.0127,0.02286,0.0152399999999999,0.01016,,,,,,
0.0,9.49,-5.43,0.0152399999999999,0.02794,0.0152399999999999,0.01016,,,,,,
7.52,5.82,-5.58,0.02286,0.04572,0.0254,0.0127,,,,,,
0.0,8.47,-8.39,0.02286,0.04572,0.0254,0.0127,,,,,,
0.0,9.33,-4.36,0.02032,0.04572,0.0431799999999999,0.0127,,,,,,
4.75,6.07,-1.0,0.0254,0.04572,0.04572,0.0177799999999999,,,,,,
6.74,1.44,-4.44,0.0355599999999999,0.0609599999999999,0.05334,0.02286,,,,,,
0.0,0.77,-9.92,0.0431799999999999,0.1016,0.0635,0.0355599999999999,,,,,,
0.0,-0.93,-13.78,0.0431799999999999,0.1016,0.06604,0.0355599999999999,,,,,,
0.19,0.13,-8.38,0.04572,0.1016,0.06604,0.0355599999999999,,,,,,
0.0,-0.21,-11.2,0.04572,0.1016,0.06604,0.0355599999999999,,,,,,
0.0,-0.08,-11.81,0.04572,0.1016,0.06604,0.0355599999999999,,,,,,
0.0,4.94,-8.16,0.04572,0.1016,0.06604,0.0355599999999999,,,,,,
0.91,5.56,-7.77,0.04572,0.1143,0.0711199999999999,0.0380999999999999,,,,,,
0.66,-2.54,-18.07,0.04572,0.11938,0.0736599999999999,0.0380999999999999,,,,,,
0.0,-4.56,-15.87,0.04572,0.12446,0.07874,0.0380999999999999,,,,,,
0.55,-3.89,-17.73,0.04572,0.12446,0.07874,0.0380999999999999,,,,,,
3.43,6.37,-6.33,0.05588,0.12954,0.08128,0.0508,,,,,,
15.73,6.8,-0.44,0.0635,0.13462,0.0838199999999999,0.0609599999999999,,,,,,
14.04,3.02,-2.92,0.09652,0.17526,0.10668,0.09144,,,,,,
0.0,1.04,-10.83,0.09652,0.1803399999999999,0.11176,0.09398,,,,,,
